"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Cavite East Asia Medical Center, Inc.","","0464310000","Molino Road, Brgy, Molino III, Bacoor, 4102 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=1932050809942482887","133","Private hospital,Physician,General hospital","2.2","null"
"2","Prime Global Care Medical Center, Inc.","","0469705314","9XXF+5QW, Avenida Rizal, Molino, Bacoor, 4102 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=18161859527095967810","6","Private hospital","4","null"
"3","Bacoor Doctors Medical Center","","0464166275","Bacoor Doctors Medical Center, Molino Blvd, Bacoor, 4102 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=13930711077355643983","30","Hospital","3.2","null"
"4","Molino Doctors Hospital","","0464770830","201 Molino Rd, Bacoor, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=12801237640455423284","56","Hospital","2.1","null"
"5","St. Michael Medical Hospital","","0464771707","212 molino 2 proper, Bacoor, 4102 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=2699207728440328937","32","Hospital","2.7","null"
"6","South City Hospital and Medical Center","","0282499100","115 Daang Hari Road, Molino, Bacoor, 4102 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=1336927160061215761","62","Hospital,Physician","3.3","facebook.com"
"7","Southern Tagalog Regional Hospital","","0464351071","Brgy, Bacoor, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=3621564903798467579","52","Hospital,Government hospital","3.7","null"
"8","St. Dominic Medical Center","","0464172520","FX56+M7X, Molino Blvd, Bacoor, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=507432437131126297","82","Medical Center,Hospital","2.8","stdominic.ph"
"9","Bacoor District Hospital","","09067940208","CWRW+HV2, Bacoor, Cavite","","https://www.google.com/maps?cid=3885259646974842418","22","Hospital","3.3","null"
"10","St. Anne Rose Medical Clinic","","09771819799","CX4R+J96, Molino III, Bacoor, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=15243654603240923407","null","Hospital","null","facebook.com"
