"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","CLT Cafe | 1300 Pasay City","","09675408128","Firehouse Philippines Inc, Pasay, 1300 Metro Manila","Thursday:[10 AM–10 PM],Friday:[10 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[10 AM–10 PM],Tuesday:[10 AM–10 PM],Wednesday:[10 AM–10 PM]","https://www.google.com/maps?cid=5317401490269092198","12","Cafe,Coffee shop,Restaurant","4.5","cltcafe.online"
"2","Shaka Cafe","","","level 2 MOA square pasay, Pasay, Metro Manila","Thursday:[10 AM–9 PM],Friday:[10 AM–9 PM],Saturday:[10 AM–9 PM],Sunday:[10 AM–9 PM],Monday:[10 AM–9 PM],Tuesday:[10 AM–9 PM],Wednesday:[10 AM–9 PM]","https://www.google.com/maps?cid=6013860658557990045","361","Coffee shop","4.7","shakacafes.com"
"3","Single Origin","","09266159507","Seashell Ln, Pasay, Metro Manila","Thursday:[7 AM–12 AM],Friday:[7 AM–12 AM],Saturday:[7 AM–12 AM],Sunday:[7 AM–12 AM],Monday:[7 AM–12 AM],Tuesday:[7 AM–12 AM],Wednesday:[7 AM–12 AM]","https://www.google.com/maps?cid=13995785267672336801","116","Cafe","3.6","null"
"4","Café Bonjour","customer.ph@total.com","","Pasay Newport Blvd, Andrews Ave, Newport, Pasay, Metro Manila","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=13409409485619086769","50","Cafe","3.8","totaloil.com.ph"
"5","COURTBEAN CAFE","","0287127839","1991 Taft Avenue، Corner San Juan, Pasay, Metro Manila","Thursday:[10 AM–8:30 PM],Friday:[10 AM–8:30 PM],Saturday:[10 AM–8:30 PM],Sunday:[Closed],Monday:[10 AM–8:30 PM],Tuesday:[10 AM–8:30 PM],Wednesday:[10 AM–8:30 PM]","https://www.google.com/maps?cid=6060106319753989592","36","Cafe","4.5","facebook.com"
"6","Cafe Mary Grace","celebrationcakes@marygracecafe.com,feedback@marygracecafe.com","09178724505","G299+JQC, Newport Blvd, Pasay, 1309 Metro Manila","Thursday:[10 AM–11 PM],Friday:[10 AM–11 PM],Saturday:[10 AM–11 PM],Sunday:[10 AM–11 PM],Monday:[10 AM–11 PM],Tuesday:[10 AM–11 PM],Wednesday:[10 AM–11 PM]","https://www.google.com/maps?cid=4645152224363788728","83","Coffee shop","4.3","marygracecafe.com"
"7","Tree House Cafe","","09171437118","821 Apelo Cruz Ext, Malibay, Pasay, 1003 Metro Manila","Thursday:[10 AM–10 PM],Friday:[10 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[10 AM–10 PM],Tuesday:[10 AM–10 PM],Wednesday:[10 AM–10 PM]","https://www.google.com/maps?cid=8877536346323316768","3","Cafe,Restaurant,Halal restaurant,Tea house","3.7","facebook.com"
"8","D&G Cafe","","09177013499","66 Don B. Hernandez, Pasay, 1300 Kalakhang Maynila","Thursday:[8 AM–10 PM],Friday:[8 AM–10 PM],Saturday:[8 AM–10 PM],Sunday:[8 AM–10 PM],Monday:[8 AM–10 PM],Tuesday:[8 AM–10 PM],Wednesday:[8 AM–10 PM]","https://www.google.com/maps?cid=2761182980742383076","12","Coffee shop","3.9","null"
"9","BLVCK CAFE SM by the Bay","","","Seaside Blvd, Pasay, Metro Manila","Thursday:[10 AM–10:30 PM],Friday:[10 AM–10:30 PM],Saturday:[10 AM–10:30 PM],Sunday:[10 AM–10:30 PM],Monday:[10 AM–10:30 PM],Tuesday:[10 AM–10:30 PM],Wednesday:[10 AM–10:30 PM]","https://www.google.com/maps?cid=2123714455770923862","53","Coffee shop","4","null"
"10","Unnie Café","","09154943554","1772 Taft Avenu Extension Street, Pasay, 1300 Metro Manila","Thursday:[8 AM–8 PM],Friday:[8 AM–8 PM],Saturday:[10 AM–6 PM],Sunday:[10 AM–6 PM],Monday:[8 AM–8 PM],Tuesday:[8 AM–8 PM],Wednesday:[8 AM–8 PM]","https://www.google.com/maps?cid=12843601789562305826","21","Coffee shop","4.9","instagram.com"
"11","74 Apartment Cafe","","09159419776","73 Clemente Jose, Malibay, Pasay, Kalakhang Maynila","Thursday:[12 PM–1 AM],Friday:[12 PM–1 AM],Saturday:[12 PM–1 AM],Sunday:[12 PM–1 AM],Monday:[12 PM–1 AM],Tuesday:[12 PM–1 AM],Wednesday:[12 PM–1 AM]","https://www.google.com/maps?cid=3953550815047845523","26","Coffee shop","4.6","null"
"12","AlfresCafé","","09673943595","Beechcraft, Pasay, Metro Manila","Thursday:[2–11 PM],Friday:[2 PM–12 AM],Saturday:[12 AM–12:30 PM],Sunday:[12 AM–12:30 PM],Monday:[2–11 PM],Tuesday:[2–11 PM],Wednesday:[2–11 PM]","https://www.google.com/maps?cid=1737821522567504536","12","Cafe,Coffee shop","4.8","null"
"13","Seattle's Best Coffee","seattlesbestcoffee@casupport.com","09178178702","GF,EM1123, SM Mall of Asia, Seaside Blvd, Pasay, Metro Manila","Thursday:[7 AM–10 PM],Friday:[7 AM–10 PM],Saturday:[7 AM–10 PM],Sunday:[7 AM–10 PM],Monday:[7 AM–10 PM],Tuesday:[7 AM–10 PM],Wednesday:[7 AM–10 PM]","https://www.google.com/maps?cid=4893141833466503491","322","Coffee shop","4.4","seattlesbest.com"
"14","DC Coffee House","","09673176646","Zone 20, Salem International Complex, 191 Domestic Rd, Pasay, 1300 Metro Manila","Thursday:[7 AM–11 PM],Friday:[7 AM–11 PM],Saturday:[7 AM–7 PM],Sunday:[Closed],Monday:[7 AM–11 PM],Tuesday:[7 AM–11 PM],Wednesday:[7 AM–11 PM]","https://www.google.com/maps?cid=12903436231279512221","40","Coffee shop","4.1","facebook.com"
"15","Saviour Haus Coffee Shop","","09063367360","Ground Floor, Rizgin Building, #45 C. Jose Street, Corner V Cruz St, Malibay, Pasay, 1300 Metro Manila","Thursday:[12–10 PM],Friday:[12–10 PM],Saturday:[12–10 PM],Sunday:[Closed],Monday:[12–10 PM],Tuesday:[12–10 PM],Wednesday:[12–10 PM]","https://www.google.com/maps?cid=4616552611949035992","12","Coffee shop","4.9","facebook.com"
"16","Bo's Coffee (Mall Of Asia)","contact@boscoffee.com,ecommerce@boscoffee.com","0285560290","GF, EM1125, SM Mall of Asia, Seaside Blvd, Pasay, Metro Manila","Thursday:[10 AM–10 PM],Friday:[10 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[10 AM–10 PM],Tuesday:[10 AM–10 PM],Wednesday:[10 AM–10 PM]","https://www.google.com/maps?cid=17786023836120394985","111","Coffee shop","4.2","boscoffee.com"
"17","Garden Wing Cafe","","","G299+VGF, Ground Floor Newport Mall, Andrews Ave, Newport City, Pasay, 1301 Metro Manila","Thursday:[7 AM–2 AM],Friday:[7 AM–2 AM],Saturday:[7 AM–2 AM],Sunday:[7 AM–12 AM],Monday:[7 AM–12 AM],Tuesday:[7 AM–12 AM],Wednesday:[7 AM–12 AM]","https://www.google.com/maps?cid=8397427229062159549","20","Cafe","3.6","null"
