"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Silang Specialists Medical Center","","09257209356","6XMF+V4G, Emilio Aguinaldo Hwy, Silang, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=17008437166954103274","72","Hospital","2.2","facebook.com"
"2","St. Mazenod Hospital, Inc.","","0464240021","7XJX+X3J, Old Bulihan Rd, Silang, 4117 Cavite","null","https://www.google.com/maps?cid=8544835144977220009","11","Private hospital","3.8","null"
"3","Estrella Hospital","","0464140793","6XF9+RCW, Emilio Aguinaldo Highway By Pass Road, San Miguel, Silang, 4118 Cavite","null","https://www.google.com/maps?cid=17705494785528915922","14","Hospital","2.3","null"
"4","Velazco Hospital and Dialysis Clinic","","0464140280","6XMG+WH3, Silang, Cavite, Silang","","https://www.google.com/maps?cid=17603577761906879139","11","Hospital","2.9","null"
"5","EVU LYING IN CLINIC","","09398298152","Blk 11 lot 7, Silang, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=6981676245587611915","null","Maternity hospital","null","null"
"6","PNPA Dispensary","","","4118, Bayan ng Silang, 4118 Cavite","","https://www.google.com/maps?cid=13161664114841528012","null","Hospital","null","null"
"7","Princhel Pink Lying-in Clinic","","","7XJW+JVH, Old Bulihan Rd, Silang, Cavite","","https://www.google.com/maps?cid=7463184820227278453","2","Hospital","5","null"
"8","Sheila Manipis Ramos Lying-in Clinic","","09477996496","255 Villanueva, SILANG, Silang, 4118 Cavite","","https://www.google.com/maps?cid=5142029495147323398","null","Maternity hospital","null","null"
"9","Ma.Crisanta","","","Phase 1 Block 17 Sta Rosa Height Barangay puting Kahoy Silang Cavite, Silang, Cavite","","https://www.google.com/maps?cid=9081530247565523793","null","Hospital","null","null"
"10","Highpoint Dental Clinic","","6862026","105 Purok 1 Biga 1 Pathwalk, Silang, Cavite","","https://www.google.com/maps?cid=6078145830769134797","null","Hospital","null","null"
"11","AUP Health Service","","","629Q+J42, Santa Rosa - Tagaytay Rd, Silang, Laguna","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=1443774930592706235","2","Medical Center","4","null"
"12","TAGAYTAY MEDICAL CENTER","","0464830134","Emilio Aguinaldo Hwy, Silang Junction North, Tagaytay, 4120 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=2598828955627480511","132","Private hospital,General hospital","1.8","null"
"13","Gentri Medical Center And Hospital Inc.","","0464240888","Baranggay Manggahan, Santusan St, General Trias, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=8638822536808748677","201","Hospital","3.9","null"
"14","Carsigma District Hospital","","0464605207","72W4+QPF, A.L Ignacio, General Mariano Alvarez, 4117 Cavite","","https://www.google.com/maps?cid=15549158603981270293","15","Hospital","3.2","null"
"15","South Prime Medical and Wellness Center","","","5WMJ+J96, Crisanto M. De Los Reyes Ave, Amadeo, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Closed],Sunday:[Closed],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=5419968375037987459","1","Medical Center","2","null"
"16","M. V Santiago Medical Primary Hospital","","0464021302","FCIE Compound, Governor's Dr, Langkaan 1, Dasmariñas, 4114 Cavite","","https://www.google.com/maps?cid=7604994405885111676","4","Hospital","4","mvsantiago.com"
"17","DGS Maternity and Lying-in Clinic (Langkaan 1 Dasmarinas Cavite Branch)","","09165470943","7WJV+XX5, Block 29 lot 1 Village Park, Phase 3, Dasmariñas, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=8304771444018555626","3","Maternity hospital","5","facebook.com"
"18","Medcor Dasmariñas Hospital and Medical Center","","","7XF8+297, Emilio Aguinaldo Hwy, Dasmariñas, Cavite","","https://www.google.com/maps?cid=7033512967897499080","2","Private hospital","3","null"
"19","Rural Health Unit - Silang","","0464142925","Silang, 4118 Cavite","Thursday:[8 AM–5 PM],Friday:[8 AM–5 AM],Saturday:[Closed],Sunday:[Closed],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=6421917387394821419","9","Community health centre","2.9","null"
"20","Gentri Doctors Medical Center","","","4107 Governor's Dr, General Trias, Cavite","null","https://www.google.com/maps?cid=7439368949496447173","91","Hospital","2.8","null"
