"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","The Rib Shack","","09178874225","Rose Ave, Las Piñas, 1740 Metro Manila","Thursday:[11:30 AM–11:30 PM],Friday:[11:30 AM–12 AM],Saturday:[11:30 AM–12 AM],Sunday:[11:30 AM–11:30 PM],Monday:[11:30 AM–11:30 PM],Tuesday:[11:30 AM–11:30 PM],Wednesday:[11:30 AM–11:30 PM]","https://www.google.com/maps?cid=18154100104147535466","525","Restaurant","4.6","facebook.com"
"2","Mama Lou's Italian Kitchen - BF HOMES","","0285191977","Block 1 Lot 36 Tropical Avenue corner Palace Street BF International, Las Piñas, 1700 Metro Manila","Thursday:[10:30 AM–10 PM],Friday:[11 AM–11 PM],Saturday:[11 AM–11 PM],Sunday:[11 AM–11 PM],Monday:[10:30 AM–10 PM],Tuesday:[10:30 AM–10 PM],Wednesday:[10:30 AM–10 PM]","https://www.google.com/maps?cid=520569793171209267","1463","Family restaurant,Italian restaurant,Pasta shop,Pizza restaurant","4.6","mamalous.com"
"3","Pio Garden Restaurant","","0282960311","Lalaine Bennet, BF Resort Drive, corner Gloria Diaz, Las Piñas, Metro Manila","Thursday:[11 AM–2 AM],Friday:[11 AM–2 AM],Saturday:[11 AM–2 AM],Sunday:[11 AM–2 AM],Monday:[11 AM–2 AM],Tuesday:[11 AM–2 AM],Wednesday:[11 AM–2 AM]","https://www.google.com/maps?cid=1795637147768888526","227","Restaurant","4.2","null"
"4","Balai Yllana Garden Restaurant BF Resort","","0285792478","Gloria Diaz, Las Piñas, 1747 Metro Manila","Thursday:[12–9 PM],Friday:[12–9 PM],Saturday:[12–9 PM],Sunday:[12 PM–9 AM],Monday:[Closed],Tuesday:[12–9 PM],Wednesday:[12–9 PM]","https://www.google.com/maps?cid=6756735129583262627","187","Restaurant","4.4","null"
"5","Skillets And Grill Sa B.F. Resort","","0288720351","Lot 29 Block 3, BF Resort Dr, Bf Resort Village, Las Piñas, 1740 Metro Manila","Thursday:[10:30 AM–2:30 PM],Friday:[10:30 AM–2:30 PM],Saturday:[10:30 AM–2:30 PM],Sunday:[10:30 AM–2:30 PM],Monday:[Closed],Tuesday:[Closed],Wednesday:[10:30 AM–2:30 PM]","https://www.google.com/maps?cid=11817905771805431772","203","Filipino restaurant,Restaurant","4.5","null"
"6","Luk Foo Restaurant","","28022880","C2Q4+C3R, Alabang–Zapote Rd, Las Piñas, 1747 Metro Manila","Thursday:[10 AM–10 PM],Friday:[10 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[10 AM–10 PM],Tuesday:[10 AM–10 PM],Wednesday:[10 AM–10 PM]","https://www.google.com/maps?cid=10570489684420124753","125","Restaurant","4.4","null"
"7","YOLO Retro Diner - BF Resort","","0283506463","CXRM+RPV, Ground Floor Prince Reiji Bldg Gloria Diaz St, BF Resort Dr, Las Piñas, 1747 Metro Manila","Thursday:[8 AM–11:59 PM],Friday:[8 AM–11:59 PM],Saturday:[8 AM–11:59 PM],Sunday:[8 AM–11:59 PM],Monday:[8 AM–11:59 PM],Tuesday:[8 AM–11:59 PM],Wednesday:[8 AM–11:59 PM]","https://www.google.com/maps?cid=5604107258688056729","83","Restaurant","4.1","facebook.com"
"8","Cecile's Restaurant","","0288722999","302 Alabang Zapote Road, corner BF Resort Dr, Village, Las Piñas, 1747 Metro Manila","Thursday:[9 AM–11 PM],Friday:[9 AM–11 PM],Saturday:[9 AM–11 PM],Sunday:[9 AM–11 PM],Monday:[9 AM–11 PM],Tuesday:[9 AM–11 PM],Wednesday:[9 AM–11 PM]","https://www.google.com/maps?cid=6086983784490344873","387","Filipino restaurant,Cafe","4.1","null"
"9","Erawan Thai Street Food","","09065570324","BF Resort Village BF Resort Dr, Las Piñas, 1747 Metro Manila","Thursday:[8 AM–10 PM],Friday:[8 AM–10 PM],Saturday:[8 AM–10 PM],Sunday:[8 AM–10 PM],Monday:[8 AM–10 PM],Tuesday:[8 AM–10 PM],Wednesday:[8 AM–10 PM]","https://www.google.com/maps?cid=4720137558452863723","145","Restaurant","4.5","facebook.com"
"10","Jean's Grill","","09478052143","CXRR+P6Q, Gloria Diaz, BFRV, Las Piñas, 1747 Metro Manila","Thursday:[5 PM–12 AM],Friday:[5 PM–12 AM],Saturday:[5 PM–12 AM],Sunday:[Closed],Monday:[5 PM–12 AM],Tuesday:[5 PM–12 AM],Wednesday:[5 PM–12 AM]","https://www.google.com/maps?cid=4486039607280492792","37","Barbecue restaurant","4.4","m.facebook.com"
"11","Kusina ni Telongs","","29011637","Aventine Hills, Las Piñas, 1747 Metro Manila","Thursday:[9 AM–10 PM],Friday:[9 AM–10 PM],Saturday:[9 AM–10 PM],Sunday:[9 AM–10 PM],Monday:[9 AM–10 PM],Tuesday:[9 AM–10 PM],Wednesday:[9 AM–10 PM]","https://www.google.com/maps?cid=17409285062200724535","344","Restaurant","4","null"
"12","Phoeb's Plate - Restaurant in Las Pinas Philippines","","09279539946","Cerra Ave, 71 Diego Cera Ave, Las Piñas, 1740 Metro Manila","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[11 AM–9 PM],Sunday:[11 AM–9 PM],Monday:[Closed],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=3396035780752189184","4","Restaurant","4.5","null"
"13","Cowboy Grill Las Pinas","","0288017644","487 Real St, Almanza Dos, Las Piñas, Metro Manila","Thursday:[5 PM–3 AM],Friday:[5 PM–3 AM],Saturday:[5 PM–3 AM],Sunday:[5 PM–3 AM],Monday:[5 PM–3 AM],Tuesday:[5 PM–3 AM],Wednesday:[5 PM–3 AM]","https://www.google.com/maps?cid=11763697348830117302","294","Restaurant","4.2","cowboygrill.ph"
"14","Tablo Kitchen x Cafe BF Resort Village","","","BF Resort Village, 2 H. Rodis St, cor BF Resort Dr, Las Piñas, Metro Manila","Thursday:[10 AM–12 AM],Friday:[10 AM–12 AM],Saturday:[10 AM–12 AM],Sunday:[10 AM–12 AM],Monday:[10 AM–12 AM],Tuesday:[10 AM–12 AM],Wednesday:[10 AM–12 AM]","https://www.google.com/maps?cid=7279959381583060754","664","Restaurant","4.7","facebook.com"
"15","Brewing Diner & Cafe","","09279126660","354, 1747 Alabang–Zapote Rd, Las Piñas, 1747 Metro Manila","Thursday:[12–10 PM],Friday:[12–10 PM],Saturday:[12–10 PM],Sunday:[12–10 PM],Monday:[12–10 PM],Tuesday:[12–10 PM],Wednesday:[12–10 PM]","https://www.google.com/maps?cid=513574132278110860","77","Restaurant,Cafe,Diner","4.7","facebook.com"
"16","Max's Restaurant","customercare@maxsgroupinc.com,onlinesupport@maxschicken.com.ph,dpo@maxsgroupinc.com","0288879000","Upper Ground, SM Southmall, Alabang–Zapote Rd, Almanza Uno, Las Piñas, Metro Manila","Thursday:[8 AM–9 PM],Friday:[8 AM–9 PM],Saturday:[8 AM–9 PM],Sunday:[8 AM–9 PM],Monday:[8 AM–9 PM],Tuesday:[8 AM–9 PM],Wednesday:[8 AM–9 PM]","https://www.google.com/maps?cid=7545972675538333911","106","Filipino restaurant,Chicken restaurant","4.2","delivery.maxschicken.com"
"17","PARES Sa NAIA Avenue - Las Piñas","","0288332430","305 Real St., Alabang-Zapote Road, Las Piñas, 1740 Metro Manila","Thursday:[9:30 AM–9:30 PM],Friday:[9:30 AM–9:30 PM],Saturday:[9:30 AM–9:30 PM],Sunday:[9:30 AM–9:30 PM],Monday:[9:30 AM–9:30 PM],Tuesday:[9:30 AM–9:30 PM],Wednesday:[9:30 AM–9:30 PM]","https://www.google.com/maps?cid=12383863401776600997","449","Diner,Fast food restaurant","4.2","facebook.com"
"18","Uncle Cheffy","","0288944123","Unit # L2 - 99 - 102, Alabang–Zapote Rd, Talon Uno, Las Piñas, 1747 Metro Manila","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[11 AM–9 PM],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=9060226963999007454","5","Restaurant","3.2","null"
"19","Gerry's","","0288932891","Alabang–Zapote Rd, Las Piñas, 1747 Metro Manila","Thursday:[11 AM–10 PM],Friday:[11 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[11 AM–10 PM],Tuesday:[11 AM–10 PM],Wednesday:[11 AM–10 PM]","https://www.google.com/maps?cid=11059039326600898847","44","Filipino restaurant,Asian restaurant,Bar & grill,Live music venue,Restaurant","4.3","gerrysgrill.com"
"20","Razon's - SM Center Las Piñas","","","CXXJ+M6V, Alabang–Zapote Rd, Las Piñas, 1747 Metro Manila","Thursday:[10 AM–9 PM],Friday:[10 AM–9 PM],Saturday:[10 AM–9 PM],Sunday:[10 AM–9 PM],Monday:[10 AM–9 PM],Tuesday:[10 AM–9 PM],Wednesday:[10 AM–9 PM]","https://www.google.com/maps?cid=3072254322535111199","34","Filipino restaurant","4.2","null"
