"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Cavite School of Life - Dasmariñas Campus","guidanceofficedasma@csol.edu.ph,csolguidance@gmail.com","0464358963","9X3J+6HF, EVY Building, Salawag Crossing, Salawag, Dasmariñas, 4114 Cavite","Thursday:[8 AM–5 PM],Friday:[8 AM–5 PM],Saturday:[Closed],Sunday:[Closed],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=13916435417309136092","8","School","4.6","dasma.csol.edu.ph"
"2","Westhill International School Incorporated","","0464763641","URC Avenue, Dasmariñas, 4114 Cavite","Thursday:[8 AM–4 PM],Friday:[8 AM–4 PM],Saturday:[Closed],Sunday:[Closed],Monday:[8 AM–4 PM],Tuesday:[8 AM–4 PM],Wednesday:[8 AM–4 PM]","https://www.google.com/maps?cid=12708936797108735029","11","International school","4.2","null"
"3","Holy Redeemer School of Dasmarinas, Cavite","","09195254064","Paliparan Rd, Salawag, Dasmariñas, Cavite","","https://www.google.com/maps?cid=9270897754476117377","1","School","5","null"
"4","Dasmariñas Integrated High School Main","","0464160498","8XF6+Q75, Congressional South Avenue, Dasmariñas, Cavite","","https://www.google.com/maps?cid=2685475099615741434","63","High school","4.3","null"
"5","Oxford Louise Academy of Dasma., Inc.","","0464163287","108 Don Placido Campos Avenue, Dasmariñas, Cavite","","https://www.google.com/maps?cid=1896219917189998925","8","School","4","oxford.ph.gp"
"6","De La Salle University - Dasmariñas High School","","","8XG5+5GP, Oval Road, Dasmariñas, Cavite","","https://www.google.com/maps?cid=3968110206193247912","10","High school","4.6","null"
"7","APEC Schools - Dasmarinas","agileinfo@apecschools.edu.ph","0464105967","3175 IMB Bldg, KM 29 Emilio Aguinaldo Hwy, Dasmariñas, Cavite","Thursday:[9 AM–5 PM],Friday:[9 AM–5 PM],Saturday:[Closed],Sunday:[Closed],Monday:[9 AM–5 PM],Tuesday:[9 AM–5 PM],Wednesday:[9 AM–5 PM]","https://www.google.com/maps?cid=2424241009977376344","16","School","4.8","apecschools.edu.ph"
"8","Holy Redeemer School of Dasmarinas, Cavite","","09196375913","8X23+W49, Emilio Aguinaldo Hwy, Dasmariñas, 4114 Cavite","","https://www.google.com/maps?cid=9888876650820222171","null","Public educational institution","null","null"
"9","St. Nicholas de Myra School","","09109902984","8XG2+M34, Congressional Rd, Dasmariñas, Cavite","","https://www.google.com/maps?cid=10573564305711046918","5","School","3.6","null"
"10","Cavite School of Life - Dasmariñas Branch","guidanceofficedasma@csol.edu.ph,csolguidance@gmail.com","0464358963","EVY Building, 107 Molino-Paliparan Road, Crossing, Salawag, Dasmariñas, 4114 Cavite","Thursday:[7:30 AM–4:30 PM],Friday:[7:30 AM–4:30 PM],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[7:30 AM–4:30 PM],Tuesday:[7:30 AM–4:30 PM],Wednesday:[7:30 AM–4:30 PM]","https://www.google.com/maps?cid=5390881850324622573","10","College","4.3","dasma.csol.edu.ph"
"11","Christian Vision School of Dasmarinas, Inc.","","0464161426","39 Don P. Campos Ave., Zone 2, Dasmariñas, Cavite","","https://www.google.com/maps?cid=4769960952777173213","null","School","null","null"
"12","Vel Maris School","","0464164563","8WMQ+HCJ, Emilio Aguinaldo Hwy, Zone 1-A, Dasmariñas, 4144 Cavite","","https://www.google.com/maps?cid=838902494737550892","9","School","4.6","facebook.com"
"13","Saint John Fisher School of Dasmariñas","","0465175950","14 1st Street, Bucal, Metrogate Estates, Dasmarinas, 4114, Cavite","","https://www.google.com/maps?cid=2524586192376221042","null","School","null","null"
"14","Dasmariñas (DBB) Elementary School - II","","0464163093","8XG6+H2C, Congressional Avenue North, Dasmariñas, Cavite","","https://www.google.com/maps?cid=9042335178799492759","12","School","5","null"
"15","Immaculate Conception Academy - East Campus","","","8WGR+MQ6, Congressional Rd, Dasmariñas, Cavite","","https://www.google.com/maps?cid=4272885459942430198","10","School","3.8","ica-dasmarinas.edu.ph"
"16","Dasmarinas College of Arts, Science and Technology Inc","","0464160323","8XG2+X5X, Main Dr, Dasmariñas, Cavite","","https://www.google.com/maps?cid=1300658860262908565","null","School","null","null"
"17","Saint Francis of Assisi College - Dasmariñas Campus","info@stfrancis.edu.ph","0464767317","8X4W+W6J, Paliparan Rd, Dasmariñas, Cavite","Thursday:[8 AM–3 PM],Friday:[8 AM–3 PM],Saturday:[Closed],Sunday:[Closed],Monday:[8 AM–3 PM],Tuesday:[8 AM–3 PM],Wednesday:[8 AM–3 PM]","https://www.google.com/maps?cid=2270588633378698163","10","Private educational institution,School","5","stfrancis.edu.ph"
"18","SALAWAG MERRYHILLS SCHOOL OF DASMARIÑAS","","0465401226","Dasma 4 Golden City, Gold Street Phase 9, Salawag, Dasmariñas, 4114 Cavite","Thursday:[8 AM–12 PM],Friday:[8 AM–12 PM],Saturday:[8:30 AM–12 PM],Sunday:[Closed],Monday:[8 AM–12 PM],Tuesday:[8 AM–12 PM],Wednesday:[8 AM–12 PM]","https://www.google.com/maps?cid=4970628601707408973","null","School","null","null"
"19","Dasmariñas North National High School Annex G","","09634186649","8XR2+94M, Dasmariñas, 4114 Cavite","","https://www.google.com/maps?cid=11941377326237771816","19","School","4.8","null"
"20","Dasmariñas West National High School","","0465406588","San Antonio de Padua I, Dasmariñas City, 4115 Cavite","Thursday:[8 AM–5 PM],Friday:[8 AM–5 PM],Saturday:[Closed],Sunday:[Closed],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=5595746470987359329","19","High school","4.3","null"
