"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","G.M.A. Hospital","","","General Mariano Alvarez, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=3068463066010959676","1","Hospital","5","null"
"2","Carsigma District Hospital","","0464605207","72W4+QPF, A.L Ignacio, General Mariano Alvarez, 4117 Cavite","","https://www.google.com/maps?cid=15549158603981270293","15","Hospital","3.2","null"
"3","Municipal Health Office","","","8237+W49, Congressional Rd, Caypombo, General Mariano Alvarez, 64162 Cavite","","https://www.google.com/maps?cid=11521084240736776729","1","Medical Center","3","null"
"4","N B SEGODINE LYING IN","","09196652325","Block 7B LOT 9 BRGY GREGORIA DE JESUS, General Mariano Alvarez, 4117 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Closed],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=3772689406871700664","null","Hospital","null","facebook.com"
"5","St. Mazenod Hospital, Inc.","","0464240021","7XJX+X3J, Old Bulihan Rd, Silang, 4117 Cavite","null","https://www.google.com/maps?cid=8544835144977220009","11","Private hospital","3.8","null"
"6","G.m.a. Hospital","","","Block 2 Governor's Dr, General Mariano Alvarez, Cavite","","https://www.google.com/maps?cid=7547251274016066659","null","Hospital","null","null"
"7","Estella Lying-in Clinic","","09205283583","Blk. C2a Brgy. Nicolasa Virata, General Mariano Alvarez, Cavite","Thursday:[8 AM–5 PM],Friday:[8 AM–5 PM],Saturday:[Closed],Sunday:[Open 24 hours],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=13336859098329218291","3","Maternity hospital","5","facebook.com"
"8","EVU LYING IN CLINIC","","09398298152","Blk 11 lot 7, Silang, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=6981676245587611915","null","Maternity hospital","null","null"
"9","EMG Multi-Specialty Clinic","","09171701306","Block 5 Lot 9, Congressional Rd, General Mariano Alvarez, 4117 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Closed],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=15677055091797493431","1","Walk-in clinic,Pediatrician","5","null"
"10","GMA Medical & Lying-in Clinic","","09452693947","blk 3 lot 1, Brgy, General Mariano Alvarez, 4117 Cavite","","https://www.google.com/maps?cid=3678042454079266431","null","Child health care centre","null","null"
"11","Princhel Pink Lying-in Clinic","","","7XJW+JVH, Old Bulihan Rd, Silang, Cavite","","https://www.google.com/maps?cid=7463184820227278453","2","Hospital","5","null"
"12","Carmona Hospital & Medical Center","mktg@carmonahospitalandmedicalcenter.com","0464198110","Governor's Drive, Cor Purification Street, Brgy, Carmona, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=669288713731093899","94","Hospital","2","carmonahospitalandmedicalcenter.com"
"13","Miracle Mosuela Dental Clinic","","09151814248","Blk 2, Lot 2 Congressional Rd, General Mariano Alvarez, 4117 Cavite","Thursday:[8 AM–5 PM],Friday:[8 AM–5 PM],Saturday:[8 AM–5 PM],Sunday:[9 AM–4 PM],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=9918689080513834390","2","Hospital","5","null"
