"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Adventist Medical Center Manila","","0285259191","1975 Corner Donada and, San Juan, Pasay, 1300 Metro Manila","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=1486095422956103162","160","Private hospital,Hospital","3.7","null"
"2","San Juan de Dios Educational Foundation Inc. - Hospital","","0288319731","Service Road, 2772 Roxas Blvd, Pasay, 1300 Metro Manila","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=8939700586217680134","212","Hospital","3","sanjuandedios.org"
"3","Pasay City General Hospital, NICU 2nd Floor","","","G2X2+P9P, Pasay, Metro Manila","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=2982298568154585957","null","Hospital","null","null"
"4","Pasay City General Hospital, Pasayeña Foundation","","0285564364","3rd Floor, Pasay City General Hospital, P. Burgos Street, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=2423357026841509162","1","Private hospital","2","null"
"5","Pasay City General Hospital, Medicine Office","","0288340603","4th Floor, Pasay City General Hospital, P. Burgos Street, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=4356861159780566470","null","General hospital","null","null"
"6","St. Augustine Hospital","","","G2Q2+79C, A. Arnaiz Avenue, Pasay, 1303 Metro Manila","","https://www.google.com/maps?cid=11044881146217004575","null","Hospital","null","null"
"7","中国诊所","","","2550, 1308 Roxas Blvd, Pasay, Metro Manila","Thursday:[9:30 AM–10 PM],Friday:[9:30 AM–10 PM],Saturday:[9:30 AM–10 PM],Sunday:[9 AM–2 PM],Monday:[9:30 AM–10 PM],Tuesday:[9:30 AM–10 PM],Wednesday:[9:30 AM–10 PM]","https://www.google.com/maps?cid=6819484468056056155","null","Hospital","null","null"
"8","Supply - Pasay City General Hospital","","0285513755","3rd Floor, Pasay City General Hospital, P. Burgos Street, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=10513647764034542246","null","General hospital","null","null"
"9","Philippine General Hospital","","","HX3X+P45, Taft Ave Pedestrian Footbridge, Pasay, Metro Manila","","https://www.google.com/maps?cid=11025003775592944355","null","Hospital","null","null"
"10","pasay","","09332818117","G2Q2+4H2, Pasay, Metro Manila","","https://www.google.com/maps?cid=11121922618016031320","null","Hospital","null","null"
"11","Castillo Interhospital Specialist","","0288338198","205 U/V Ground Floor, Aurora Building Corner Efipanio delos Santos Avenue, Metro Manila, Pasay, 1300","","https://www.google.com/maps?cid=9107812838567917209","19","Private hospital","4.5","null"
"12","Pasay City General Hospital, Chief of Clinics Office","","0285510121","3rd Floor, Pasay City General Hospital, P. Burgos Street, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=15738124772169849592","null","General hospital","null","null"
"13","A.G. Abello Sto. Nino Hospital","","0288310424","HX2X+G2X, Pasay City, 1304 Metro Manila","","https://www.google.com/maps?cid=601012804346332461","null","Hospital","null","null"
"14","Cynthia S. Gaerlan, MD@ Philippine Air Force General Hospital","","0328546701","G29C+W38, Sales Road, Villamor Airbase, Pasay City, Pasay","","https://www.google.com/maps?cid=11323470304349528841","null","General hospital","null","null"
"15","hospitals","","","HX2Q+HV8, Roxas Blvd, Pasay, Metro Manila","","https://www.google.com/maps?cid=5195142075112856471","null","Hospital","null","null"
"16","Accredited OFW Medical Clinics & Hospital","","0288315850","No. 2440-C, Clinimed Biodiagnostic Center, F.B. Harrison Street corner Palm Court Street, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=10421678366460615536","null","Private hospital,General practitioner","null","null"
"17","Doña Marta Health Center","","","39 Don C Revilla St, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=742041970571059903","11","Medical Center","3.4","null"
"18","Pasay City General Hospital, Surgery Office","","0288320897","2nd Floor, Pasay City General Hospital, P. Burgos Street, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=1263832335043143902","null","General hospital","null","null"
"19","Oscar B. Santiano, MD @ San Juan De Dios Hospital","","0288331975","San Juan De Dios Hospital, 2772 Roxas Boulevard, Malibay, Pasay City","","https://www.google.com/maps?cid=14105367533964761928","null","Hospital","null","null"
"20","USVA Outpatient Clinic","","","1501 Roxas Blvd, Pasay, 1300 Metro Manila","","https://www.google.com/maps?cid=4188368239815025238","5","Hospital","3.8","null"
