"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Tagaytay Montessori School Tagaytay","","0468603084","4W47+6J7, Tagaytay, 4120 Cavite","Thursday:[7 AM–5 PM],Friday:[7 AM–5 PM],Saturday:[Closed],Sunday:[Closed],Monday:[7 AM–5 PM],Tuesday:[7 AM–5 PM],Wednesday:[7 AM–5 PM]","https://www.google.com/maps?cid=7807863262851733553","5","School","4.2","facebook.com"
"2","Tagaytay City Science National High School","","0464305794","4XFR+GVP, Tagaytay - Calamba Rd, Tagaytay, Cavite","","https://www.google.com/maps?cid=16388538694105158977","19","High school","4.5","facebook.com"
"3","Shim International School","info@shimis.com,simona@shimis.com","0464832534","4XJF+VJW, Dominican Road, Tolentino West, Lagusan Dr, Tagaytay, Cavite","Thursday:[9 AM–4 PM],Friday:[9 AM–4 PM],Saturday:[Closed],Sunday:[Closed],Monday:[9 AM–4 PM],Tuesday:[9 AM–4 PM],Wednesday:[9 AM–4 PM]","https://www.google.com/maps?cid=8393684143746947064","4","Private educational institution","4","shimis.com"
"4","Mater Dei Academy Tagaytay","","0464833686","4W2H+XF2, Mahogany Ave, Tagaytay, Cavite","","https://www.google.com/maps?cid=2581580987863236138","14","Private educational institution","4.6","materdeiacademy.ph"
"5","Samuel Mission International School","","+82269740025","4XF2+M9G, Tagaytay, Cavite","","https://www.google.com/maps?cid=11715532289503466409","17","School","5","null"
"6","Tise Tropical Innovative School of Excellence","","0464134534","083 FRANCISCO DRIVE, Kaybagal South, Tagaytay, 4120 Cavite","","https://www.google.com/maps?cid=2591249150299930097","11","School","4.6","null"
"7","Tagaytay City Integrated School","","","4W42+FV4, Tagaytay, Cavite","","https://www.google.com/maps?cid=17938366673380149340","null","School","null","null"
"8","Tagaytay City National High School","","0464131796","4W2F+XJC, Mayor's Dr, Tagaytay, 4120 Cavite","","https://www.google.com/maps?cid=13195035510575987869","10","High school","4.1","null"
"9","SAFI Integrated Learning Academy Inc.","","4194511","4XHJ+6RH, Tagaytay, Cavite","","https://www.google.com/maps?cid=18078516971445987088","null","School","null","null"
"10","Metro Tagaytay College","","0464130345","4X33+X8F, Tagaytay -Amadeo Road Cavite, Tagaytay","","https://www.google.com/maps?cid=17241513450313583734","1","College","4","null"
"11","Saint Francis of Assisi Academy, Inc.","","09504220411","Bonifacio Dr, Silang Junction North, Tagaytay, Cavite","Thursday:[9 AM–3 PM],Friday:[9 AM–3 PM],Saturday:[Closed],Sunday:[Closed],Monday:[9 AM–3 PM],Tuesday:[9 AM–3 PM],Wednesday:[9 AM–3 PM]","https://www.google.com/maps?cid=5222951557006757191","null","School","null","null"
"12","Tagaytay City Central School","","0464132028","4XFQ+GQ9, Tagaytay - Calamba Rd, Tagaytay, Cavite","","https://www.google.com/maps?cid=14508502568903822412","2","School","5","null"
"13","Bethany Christian Academy Of Tagaytay","","","4XH5+Q52, Emilio Aguinaldo Hwy, Tagaytay, 4120 Cavite","","https://www.google.com/maps?cid=9106357386386074989","null","School","null","bcatedu.webs.com"
"14","Sisters of Mary Immaculate School - Tagaytay","","","4W54+GP3, 139, Patutong Malaki North, Tagaytay, Cavite","Thursday:[8 AM–5 PM],Friday:[9 AM–5 PM],Saturday:[9 AM–5 PM],Sunday:[Closed],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=15667976866882162585","null","School","null","null"
"15","School","","","Olivarez College, Tagaytay, Cavite","","https://www.google.com/maps?cid=12354376795408459483","null","College","null","null"
"16","Sister Maria Carmela Brescia School","","","4XGC+QXJ, Tagaytay - Calamba Rd, Tolentino West, Tagaytay, 4120 Cavite","","https://www.google.com/maps?cid=177779581045053476","5","School","5","null"
"17","Bethany Christian Academy of Tagaytay","","0464131932","Kilometer 54 Bethany, Maitim II-East, Tagaytay City, Cavite","","https://www.google.com/maps?cid=17011412924965812934","1","School","5","null"
"18","Francisco P. Tolentino National High School","","","4XJG+MCQ, Lagusan Dr, Tagaytay, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=13973681199548283824","9","High school","4","null"
"19","Tagaytay Christian Academy/in His Presence Christian Church","","0464830426","9081 Calamba Road, Tagaytay, 4120 Cavite","","https://www.google.com/maps?cid=7739761922698342745","3","Private educational institution","4.7","null"
"20","Zion Crest Christian Academy","","09174259775","4X75+3HQ, Ligaya Drive Sungay West, Tagaytay, Cavite","","https://www.google.com/maps?cid=17082934514420664759","null","School","null","null"
