"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Marius B&B and Hostel","","09173180953","RM ASUNCION ST, Tubuan Bridge, 2nd, Silang, 4118 Cavite","","https://www.google.com/maps?cid=1171692419123396861","66","Bed & breakfast","4.3","null"
"2","RedDoorz @ Km 50 Aguinaldo Highway Tagaytay","","0282498745","Km.50, Tagaytay","","https://www.google.com/maps?cid=16247128331220161330","52","Hotel","3.5","reddoorz.com"
"3","The Park - Silang","thepark@primergrp.com","09178005367","Blk 8, Richland Hills Subdivison (Phase 3), Brgy Putingkahoy, Silang, Cavite","","https://www.google.com/maps?cid=15562084935280479294","204","Event venue,Hotel,Indoor lodging,Resort hotel,Wedding venue","4.5","theparksilang.com"
"4","STARVIEW HOTEL AND RESORT","","09267527634","Starview hotel and resort Blumentritt st Tubuan, 1st, Silang, 4118 Cavite","","https://www.google.com/maps?cid=963954277917981974","110","Hotel","4.3","null"
"5","Lucia’s Bed and Breakfast Resort","","09175444005","Daang Balite Rd, Silang, Cavite","","https://www.google.com/maps?cid=553160034530420971","99","Bed & breakfast","4.8","facebook.com"
"6","Diaz Residence","","09171780888","Jarez St, Silang, Cavite","","https://www.google.com/maps?cid=123041517037878941","7","Holiday apartment rental","4.7","null"
"7","Rachel's Bed & Breakfast","","09277085752","125 Purok 2, Silang, Cavite","","https://www.google.com/maps?cid=17199146939626406305","22","Bed & breakfast","3.7","null"
"8","Hotel Georgina","","09178063476","4XM5+M97, Buho-Talon Rd, Amadeo, Cavite","","https://www.google.com/maps?cid=1824872137961460131","234","Hotel","4.1","facebook.com"
"9","Resort de Hera","","+821066210590","542-G Brgy. Kalubkob-Daang, Silang, 4118 Cavite","","https://www.google.com/maps?cid=9621138592851403909","17","Resort hotel","4.5","null"
"10","Kaong Transient Motel Guesthouse Inn Apartelle","","09338280944","190 Karsadahan, Kanluran, Kaong , Silang, Cavite Infront of Kaong National, High, School, Silang, 4118 Cavite","","https://www.google.com/maps?cid=12586566834829385124","10","Motel,Hostel,Inn,Lodging,Homestay","4.2","facebook.com"
"11","Shiri Hotel & Resort(쉬리 호텔 리조트)","","09266990034","574 Emilio Aguinaldo Hwy, Silang, Cavite","","https://www.google.com/maps?cid=9560357593597471055","14","Bed & breakfast,Lodging","2.9","null"
"12","Brizo Hotel & Mountain View Resort","","09454774780","Kabangaan Rd., Brgy. Cabangaan, Silang-Tagaytay, Silang, Cavite","","https://www.google.com/maps?cid=4108167907664762875","112","Resort hotel,BBQ area,Beer garden,Snack bar,Swimming pool","4.3","null"
"13","WhiteWoods Convention & Leisure Hotel","","09951940815","8345 Santa Rosa - Tagaytay Rd, Silang, Cavite","","https://www.google.com/maps?cid=4193063018014874809","182","Hotel","4.1","facebook.com"
"14","Evangeline Garden and Lodge","","09189486213","626G+HQF, Purok Uno, Phase 1 Block 17 Sta Rosa Height Barangay puting Kahoy Silang Cavite, Silang, 4118 Cavite","","https://www.google.com/maps?cid=17179371066295560042","3","Hotel","5","null"
"15","Microtel by Wyndham Eagle Ridge","accessibility@wyndham.com","0465093333","Amadeo Road, General Trias, 4107","","https://www.google.com/maps?cid=9519312115239943422","207","Hotel,Inn,Motel","4.1","wyndhamhotels.com"
"16","Minine Guesthouse","","09053432695","Km51.6 Gen. Aguinaldo Hwy, 730 Lalaan2, Silang, 4118 Cavite","","https://www.google.com/maps?cid=8635536386747230318","22","Guest house,Lodging","4.3","donaldstravelexperience.com"
"17","EliJosh Resort & Events Place","","09565198692","Louise Ville 5, Brgy, Silang, Cavite","","https://www.google.com/maps?cid=14352469092467526209","13","Resort hotel","4.5","facebook.com"
"18","OYO 473 Ranchotel Drive-in","","0285488234","1, National Hi-Way, Canlalay, Biñan City Laguna, Laguna, 4024 Metro Manila","","https://www.google.com/maps?cid=12873500116828091808","86","Hotel","3.2","oyorooms.com"
"19","La Esquina Private Resort","","09283450033","345 Leynes St, Barangay Lalaan 2nd, Silang, 4118 Cavite","","https://www.google.com/maps?cid=17776751767793758056","3","Resort hotel","4.3","facebook.com"
"20","RedDoorz @ Tagaytay Road","","0282498745","Santa Rosa - Tagaytay Rd, Tagaytay, Cavite","","https://www.google.com/maps?cid=189778562688514537","60","Hotel","3.4","reddoorz.com"
