"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Anytime Fitness Westborough","","09284252455","Westborough Town Center, Westborough Town Centre, South Blvd, Silang, Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=1136576062742581560","29","Gym","4.6","anytimefitness.ph"
"2","Pound for Pound Fitness Silang Cavite","","09563858924","6744, Bypass Road, Purok 1 Biga 1 Pathwalk, Silang, 4118 Cavite","Thursday:[7 AM–10 PM],Friday:[7 AM–10 PM],Saturday:[7 AM–10 PM],Sunday:[10 AM–5 PM],Monday:[7 AM–10 PM],Tuesday:[7 AM–10 PM],Wednesday:[7 AM–10 PM]","https://www.google.com/maps?cid=18101593477320619166","11","Physical fitness program","4.4","null"
"3","Hugot gym","","","Block 31 lot 1 afp housing zone 1, Silang, Cavite","Thursday:[8:59 AM–9 PM],Friday:[8:59 AM–9 PM],Saturday:[8:59 AM–9 PM],Sunday:[8:59 AM–9 PM],Monday:[8:59 AM–9 PM],Tuesday:[8:59 AM–9 PM],Wednesday:[8:59 AM–9 PM]","https://www.google.com/maps?cid=9064715599936611985","5","Gym","5","null"
"4","Silang Patio Medina","","","6XFF+8GV, Silang, Cavite","","https://www.google.com/maps?cid=17437065240191276354","14","Gym","4.5","null"
"5","Fil-Can GYM","","","6XCF+HPG, Silang, Cavite","","https://www.google.com/maps?cid=4089552463976910390","3","Gym","4.7","null"
"6","TEAM RAF GYM","","","16 B Reyes, Silang, Cavite","Thursday:[6 AM–9 PM],Friday:[6 AM–9 PM],Saturday:[6 AM–9 PM],Sunday:[6 AM–9 PM],Monday:[6 AM–9 PM],Tuesday:[6 AM–9 PM],Wednesday:[6 AM–9 PM]","https://www.google.com/maps?cid=7481651868317898192","2","Gym","5","null"
"7","Carl's Gym","","","2nd Floor Amable Building, Sta. Rosa Heights, Silang, 4118 Cavite","Thursday:[8 AM–9 PM],Friday:[8 AM–9 PM],Saturday:[Closed],Sunday:[8 AM–9 PM],Monday:[8 AM–9 PM],Tuesday:[8 AM–9 PM],Wednesday:[8 AM–9 PM]","https://www.google.com/maps?cid=13328890901599237155","3","Gym","4.7","null"
"8","AUP GYM","","09979046245","Silang, Cavite","","https://www.google.com/maps?cid=4086199065189709397","14","Gym","3.7","null"
"9","Cacao Loop Ayala Westgrove Sports Center","info@ayalawestgrove.net","","62Q7+2W3, Unnamed Road, Silang, Cavite","","https://www.google.com/maps?cid=2597033430669875181","13","Gym","4.2","ayalawestgrove.net"
"10","DC fitness gym","","","6X9F+7R4, Silang, Cavite","","https://www.google.com/maps?cid=3043409067891605455","2","Gym","5","null"
