"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Mary Immaculate Parish Nature Church","","0288017806","Staffline Incorporated, Apollo III, Las Piñas, 1747 Metro Manila","Thursday:[9 AM–12 PM],Friday:[9 AM–12 PM],Saturday:[9 AM–12 PM],Sunday:[8 AM–12 PM],Monday:[Closed],Tuesday:[9 AM–12 PM],Wednesday:[9 AM–12 PM]","https://www.google.com/maps?cid=9790608343214010766","482","Catholic church,Tourist attraction","4.7","null"
"2","Mary Mother of the Church Parish","","0288739287","CXGV+H2P, BF Resort Village, Capitoline Hill St, Las Piñas, Metro Manila","","https://www.google.com/maps?cid=5019958497685764752","185","Catholic church","4.7","m.facebook.com"
"3","Last Supper of Our Lord Parish Church - Manila Times Village, Pamplona Tres, Las Piñas City (Diocese of Parañaque)","","0288724392","CXXP+VJ3, Las Piñas, Metro Manila","","https://www.google.com/maps?cid=8728915893950733146","35","Catholic church","4.6","facebook.com"
"4","San Isidro Labrador Parish","","09155003909","C2J6+QVX, Almanza Uno, Las Piñas, Metro Manila","","https://www.google.com/maps?cid=13287315996640261628","134","Catholic church","4.6","facebook.com"
"5","Our Lady of Fatima Parish Church - Philamlife Village, Pamplona Dos, Las Piñas City (Diocese of Parañaque)","","0287779535","CXXG+2RX, Our Lady of Fatima Ave, Las Piñas, Metro Manila","Thursday:[8 AM–5 PM],Friday:[8 AM–5 PM],Saturday:[8 AM–5 PM],Sunday:[8 AM–5 PM],Monday:[Closed],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=3736889827370520256","199","Catholic church","4.7","facebook.com"
"6","Holy Family Parish Church - BF Homes Alamanza Dos, Alamanza Dos, Las Piñas City (Diocese of Parañaque)","","","BF Homes Almanza, 29 CRM Dulce, cor CRM Ave, Almanza Dos, Las Piñas, Metro Manila","Thursday:[9 AM–5 PM],Friday:[9 AM–5 PM],Saturday:[9 AM–5 PM],Sunday:[9 AM–5 PM],Monday:[Closed],Tuesday:[9 AM–5 PM],Wednesday:[9 AM–5 PM]","https://www.google.com/maps?cid=15706002041058679879","63","Catholic church","4.6","facebook.com"
"7","Sto. Cristo Parish Church - Soldiers' Hill Subdivision, Talon Singko, Las Piñas City (Diocese of Parañaque)","","0288054081","CX6W+QP2, Las Piñas, 1747 Metro Manila","","https://www.google.com/maps?cid=11227730521551768872","23","Catholic church","4.5","null"
"8","Christ the King Parish Church - San Isidro Subdivision, Pamplona Uno, Parañaque City (Diocese of Parañaque)","","0288740640","1740 E Trinidad, Las Piñas, Metro Manila","Thursday:[8 AM–4:25 PM],Friday:[8 AM–4:25 PM],Saturday:[8 AM–4:25 PM],Sunday:[8 AM–4:25 PM],Monday:[8 AM–4:25 PM],Tuesday:[8 AM–4:25 PM],Wednesday:[8 AM–4:25 PM]","https://www.google.com/maps?cid=8860510915229974544","65","Catholic church","4.6","null"
"9","St. Joseph the Worker Parish Church - BF Mariposa Subdivision, Talon Tres, Las Piñas City (Diocese of Parañaque)","","","C2W2+W56, Ontario, Las Piñas, 1747 Metro Manila","","https://www.google.com/maps?cid=4957627398275644429","27","Catholic church","4.4","facebook.com"
"10","Our Lady of the Pillar Parish","","0288061555","32 Mercury Rd, Las Piñas, 1750 Metro Manila","","https://www.google.com/maps?cid=17545231751146239390","135","Catholic church","4.7","facebook.com"
